"Dstat 0.7.2svn CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","vagrant"
"Cmdline:","dstat -Tclmdrn --wifi --output dstat.log",,,,"Date:","12 Oct 2013 10:17:27 CEST"

"epoch";"total cpu usage";;;;;;;"load avg";;;"memory usage";;;;"dsk/total";;"io/total";;"net/total";
"epoch";"usr";"sys";"idl";"wai";"hiq";"siq";"stl";"1m";"5m";"15m";"used";"buff";"cach";"free";"read";"writ";"read";"writ";"recv";"send"
1381602978.263;43.169;2.732;54.098;0;0;0;0;0;0;0;77344768;81469440;148561920;737816576;0;0;0;0;60;454
1381602978.328;0;0;100;0;0;0;0;0;0;0;77344768;81469440;148561920;737816576;0;0;0;0;120;604
1381602979.327;0;1.031;98.969;0;0;0;0;0;0;0;77344768;81469440;148561920;737816576;0;16384;0;4;60;454
1381602980.328;0;0;100;0;0;0;0;0;0;0;77344768;81469440;148561920;737816576;0;0;0;0;60;470
1381602981.327;1;0;99;0;0;0;0;0;0;0;77344768;81469440;148561920;737816576;0;0;0;0;60;454
1381602982.327;0;0;100;0;0;0;0;0;0;0;77344768;81469440;148561920;737816576;0;0;0;0;60;454
1381602983.327;0;0;100;0;0;0;0;0;0;0;77344768;81469440;148561920;737816576;0;0;0;0;60;454
1381602984.327;0;0;100;0;0;0;0;0;0;0;77344768;81469440;148561920;737816576;0;0;0;0;60;454
1381602985.327;0;0;99.010;0;0.990;0;0;0;0;0;77344768;81469440;148561920;737816576;0;16384;0;4;60;454
1381602986.327;0;0;100;0;0;0;0;0;0;0;77344768;81469440;148561920;737816576;0;0;0;0;60;470
1381602987.327;0.990;0;99.010;0;0;0;0;0;0;0;77344768;81469440;148561920;737816576;0;0;0;0;60;454
1381602988.328;0;0;100;0;0;0;0;0;0;0;77344768;81469440;148561920;737816576;0;0;0;0;120;556
1381602989.332;0;0;100;0;0;0;0;0;0;0;77344768;81469440;148561920;737816576;0;0;0;0;60;454
1381602990.327;0;0;100;0;0;0;0;0;0;0;77344768;81469440;148561920;737816576;0;0;0;0;60;454
1381602991.327;0;0;100;0;0;0;0;0;0;0;77340672;81469440;148566016;737816576;0;16384;0;4;120;556
1381602992.328;1;0;99;0;0;0;0;0;0;0;77340672;81469440;148566016;737816576;0;0;0;0;60;470
1381602993.327;0;0;100;0;0;0;0;0;0;0;77340672;81469440;148566016;737816576;0;0;0;0;60;454
1381602994.327;0;0;100;0;0;0;0;0;0;0;77340672;81469440;148566016;737816576;0;0;0;0;60;454
1381602995.328;0;0;100;0;0;0;0;0;0;0;77340672;81469440;148566016;737816576;0;0;0;0;60;454
1381602996.327;0;0;99;0;0;1;0;0;0;0;77340672;81469440;148566016;737816576;0;16384;0;4;60;454
1381602997.327;0;0;100;0;0;0;0;0;0;0;77340672;81469440;148566016;737816576;0;0;0;0;60;470
1381602998.328;0;0;100;0;0;0;0;0;0;0;77340672;81469440;148566016;737816576;0;0;0;0;60;454
1381602999.327;0;0;100;0;0;0;0;0;0;0;77340672;81469440;148566016;737816576;0;0;0;0;60;454
1381603000.328;0;0;100;0;0;0;0;0;0;0;77340672;81469440;148566016;737816576;0;12288;0;3;60;454
1381603001.327;0;0;100;0;0;0;0;0;0;0;77340672;81469440;148566016;737816576;0;20480;0;4;120;572
1381603002.327;0;0;100;0;0;0;0;0;0;0;77340672;81469440;148566016;737816576;0;0;0;0;60;470
1381603003.327;0.990;0;99.010;0;0;0;0;0;0;0;77340672;81469440;148566016;737816576;0;0;0;0;60;454
1381603004.327;0;0;100;0;0;0;0;0;0;0;77340672;81469440;148566016;737816576;0;0;0;0;60;454
1381603005.327;0;1;99;0;0;0;0;0;0;0;77340672;81469440;148566016;737816576;0;4096;0;1;120;556
1381603006.328;0;0;100;0;0;0;0;0;0;0;77340672;81469440;148566016;737816576;0;16384;0;4;60;470
1381603007.327;0;0;100;0;0;0;0;0;0;0;77340672;81469440;148566016;737816576;0;0;0;0;60;470
1381603008.328;0;0;100;0;0;0;0;0;0;0;77340672;81469440;148566016;737816576;0;0;0;0;120;556
1381603009.327;0;0;100;0;0;0;0;0;0;0;77340672;81469440;148566016;737816576;0;0;0;0;60;454
1381603010.327;1;0;99;0;0;0;0;0;0;0;77340672;81469440;148566016;737816576;0;0;0;0;222;610
1381603011.327;0;0;100;0;0;0;0;0;0;0;77340672;81469440;148566016;737816576;0;0;0;0;60;454
