都道府県,建設業,製造業,情報通信業,運輸業，郵便業,卸売業，小売業,医療，福祉,サービス業
北海道,260.9,229.4,331.8,230.5,271.4,280.8,189.4
青森,242.7,199.6,271.4,207.9,239.2,219.3,203.2
岩手,230.9,213.7,279.3,229.9,229.1,248.6,192.2
宮城,322.2,247.4,346.7,236.9,280.6,271.7,211.2
秋田,244.3,212.5,312.0,212.1,222.2,264.5,183.6
山形,268.0,227.4,331.8,239.8,223.9,255.3,191.6
福島,266.0,251.9,306.1,233.3,244.5,242.3,210.4
茨城,300.3,292.7,298.7,256.4,279.7,276.9,242.0
栃木,295.9,284.3,312.2,265.5,276.6,274.2,228.7
群馬,303.7,281.8,317.3,266.1,260.8,272.0,220.5
埼玉,350.8,293.2,325.2,262.6,306.1,279.9,262.9
千葉,327.5,298.8,359.9,272.0,285.8,281.5,239.2
東京,362.5,374.7,430.2,317.7,352.5,324.6,273.5
神奈川,334.2,350.4,395.1,280.2,303.1,309.7,254.8
新潟,267.8,251.1,310.8,244.7,237.8,268.2,236.1
富山,290.7,261.5,296.9,250.0,272.1,251.1,236.4
石川,297.9,251.3,354.5,257.6,286.1,241.4,227.2
福井,304.2,260.0,313.5,255.0,254.1,252.1,226.6
山梨,307.9,277.7,323.3,247.2,261.6,255.5,233.1
長野,313.1,268.4,311.8,255.9,286.1,269.2,237.4
岐阜,323.7,261.5,308.6,250.6,277.2,261.9,241.5
静岡,328.0,287.2,347.7,245.4,272.2,280.6,238.0
愛知,346.0,311.7,310.5,274.1,312.3,295.2,272.0
三重,318.5,300.8,314.3,252.0,280.2,255.6,251.0
滋賀,320.1,306.0,344.2,258.2,275.1,261.1,233.4
京都,311.3,305.5,336.0,245.3,293.0,311.2,250.3
大阪,328.7,303.9,348.1,267.4,305.4,277.3,266.2
兵庫,313.6,297.9,344.0,287.2,283.0,279.7,243.9
奈良,290.9,297.7,342.1,270.4,273.3,263.3,228.7
和歌山,358.3,274.2,309.1,273.0,256.2,256.6,243.0
鳥取,253.6,221.2,314.9,256.2,240.4,272.3,216.1
島根,259.3,231.6,283.5,246.2,234.9,240.9,205.2
岡山,306.5,263.7,306.7,250.9,286.0,270.3,246.9
広島,401.7,269.1,351.5,255.6,292.6,267.8,233.6
山口,306.0,268.7,294.2,228.2,273.7,247.5,227.5
徳島,280.9,257.0,348.1,244.3,239.1,251.4,183.8
香川,286.7,250.8,343.6,240.0,261.1,256.0,232.2
愛媛,256.3,255.4,325.7,234.8,252.4,245.5,223.5
高知,255.2,219.3,328.3,229.8,224.1,263.2,180.5
福岡,310.1,271.1,342.6,234.0,272.9,259.3,228.2
佐賀,238.9,234.2,280.5,235.0,251.2,205.7,220.7
長崎,262.8,248.0,272.9,201.1,244.7,244.0,206.4
熊本,240.7,256.2,336.7,226.5,251.7,263.0,205.8
大分,277.0,252.2,310.5,221.3,242.9,229.9,203.0
宮崎,260.6,214.9,278.7,236.9,234.8,234.1,210.1
鹿児島,259.3,241.7,298.4,232.5,252.2,268.5,206.7
沖縄,244.9,201.8,277.4,184.8,229.9,250.8,182.2
